iter	Passed	Remaining
0	2	226
1	4	197
2	5	188
3	7	173
4	8	170
5	10	167
6	12	164
7	14	164
8	15	161
9	17	160
10	19	157
11	21	155
12	22	153
13	24	151
14	26	149
15	28	147
16	29	145
17	31	143
18	33	141
19	34	139
20	36	137
21	38	135
22	40	133
23	41	132
24	43	130
25	45	128
26	46	126
27	48	125
28	50	123
29	51	121
30	53	119
31	55	118
32	57	116
33	59	114
34	60	112
35	62	111
36	64	109
37	65	107
38	67	105
39	69	104
40	71	102
41	71	99
42	73	97
43	75	95
44	76	94
45	78	92
46	80	90
47	82	88
48	83	87
49	85	85
50	87	83
51	88	82
52	90	80
53	92	78
54	93	76
55	94	74
56	96	73
57	98	71
58	100	69
59	101	67
60	103	66
61	105	64
62	106	62
63	108	61
64	110	59
65	112	57
66	113	56
67	115	54
68	117	52
69	118	50
70	120	49
71	122	47
72	123	45
73	126	44
74	127	42
75	130	41
76	132	39
77	134	37
78	136	36
79	138	34
80	140	32
81	142	31
82	144	29
83	145	27
84	147	26
85	149	24
86	150	22
87	152	20
88	154	19
89	156	17
90	157	15
91	159	13
92	161	12
93	162	10
94	164	8
95	166	6
96	168	5
97	169	3
98	171	1
99	173	0
