iter	Passed	Remaining
0	167	167079
1	170	85007
2	173	57567
3	178	44328
4	180	35994
5	183	30406
6	246	34903
7	249	30876
8	254	27979
9	263	26063
10	266	23953
11	269	22194
12	278	21150
13	281	19849
14	284	18708
15	291	17903
16	316	18294
17	324	17695
18	327	16895
19	329	16164
20	332	15507
21	341	15170
22	345	14660
23	348	14170
24	354	13841
25	358	13418
26	360	12998
27	376	13080
28	380	12728
29	388	12549
30	390	12213
31	456	13802
32	459	13457
33	466	13242
34	469	12945
35	473	12672
36	477	12433
37	489	12385
38	494	12173
39	500	12008
40	505	11826
41	507	11583
42	515	11462
43	517	11253
44	521	11061
45	523	10867
46	539	10939
47	554	11000
48	564	10954
49	567	10782
50	571	10633
51	584	10657
52	587	10500
53	602	10559
54	611	10510
55	618	10419
56	620	10259
57	625	10158
58	628	10023
59	639	10014
60	643	9907
61	645	9763
62	647	9624
63	648	9488
64	655	9429
65	657	9305
66	659	9183
67	661	9065
68	663	8948
69	669	8890
70	671	8788
71	673	8683
72	675	8577
73	677	8473
74	679	8375
75	685	8336
76	688	8250
77	690	8166
78	693	8080
79	694	7991
80	697	7913
81	699	7829
82	700	7738
83	702	7659
84	704	7583
85	706	7505
86	708	7439
87	710	7366
88	712	7294
89	714	7223
90	716	7154
91	723	7137
92	725	7072
93	727	7008
94	728	6943
95	730	6879
96	732	6816
97	739	6803
98	741	6747
99	743	6691
100	745	6637
101	747	6581
102	753	6563
103	756	6514
104	758	6461
105	759	6407
106	761	6355
107	763	6304
108	766	6268
109	768	6221
110	771	6175
111	772	6126
112	774	6080
113	779	6059
114	781	6014
115	783	5970
116	784	5922
117	786	5880
118	789	5843
119	794	5823
120	798	5798
121	799	5755
122	801	5717
123	803	5677
124	805	5638
125	811	5631
126	813	5592
127	815	5555
128	817	5521
129	820	5487
130	835	5542
131	845	5558
132	847	5522
133	849	5487
134	851	5452
135	853	5419
136	856	5392
137	861	5382
138	863	5350
139	870	5345
140	872	5314
141	873	5280
142	875	5249
143	878	5220
144	885	5223
145	888	5198
146	891	5170
147	893	5140
148	895	5115
149	905	5129
150	907	5102
151	909	5073
152	911	5043
153	919	5053
154	923	5033
155	925	5006
156	927	4977
157	936	4990
158	938	4964
159	940	4939
160	942	4909
161	950	4914
162	954	4899
163	956	4873
164	957	4847
165	965	4849
166	969	4834
167	972	4815
168	979	4816
169	982	4797
170	985	4776
171	987	4752
172	988	4727
173	995	4724
174	998	4705
175	1000	4682
176	1001	4658
177	1003	4634
178	1011	4639
179	1013	4618
180	1016	4598
181	1018	4576
182	1020	4553
183	1029	4565
184	1031	4546
185	1034	4525
186	1047	4554
187	1050	4535
188	1060	4548
189	1065	4543
190	1074	4549
191	1078	4538
192	1081	4520
193	1092	4538
194	1096	4524
195	1106	4537
196	1108	4519
197	1112	4506
198	1119	4506
199	1122	4491
200	1125	4473
201	1127	4452
202	1134	4454
203	1137	4437
204	1140	4423
205	1142	4402
206	1148	4399
207	1151	4384
208	1155	4372
209	1157	4353
210	1163	4352
211	1166	4335
212	1168	4319
213	1170	4299
214	1172	4280
215	1180	4283
216	1183	4271
217	1185	4253
218	1187	4234
219	1196	4242
220	1199	4227
221	1201	4210
222	1203	4192
223	1210	4194
224	1214	4184
225	1219	4175
226	1235	4207
227	1244	4213
228	1247	4199
229	1249	4182
230	1251	4165
231	1259	4169
232	1261	4153
233	1263	4137
234	1265	4120
235	1273	4121
236	1275	4105
237	1279	4097
238	1281	4081
239	1293	4095
240	1296	4084
241	1304	4085
242	1307	4072
243	1309	4057
244	1312	4045
245	1318	4040
246	1320	4025
247	1328	4027
248	1330	4013
249	1332	3998
250	1334	3983
251	1341	3981
252	1343	3968
253	1346	3954
254	1348	3938
255	1349	3923
256	1357	3925
257	1361	3914
258	1363	3900
259	1365	3885
260	1373	3888
261	1375	3875
262	1377	3861
263	1379	3846
264	1385	3842
265	1389	3834
266	1391	3821
267	1393	3806
268	1395	3791
269	1402	3793
270	1405	3780
271	1408	3768
272	1409	3754
273	1416	3752
274	1419	3741
275	1421	3730
276	1423	3716
277	1426	3704
278	1432	3702
279	1434	3689
280	1436	3676
281	1443	3675
282	1446	3664
283	1449	3654
284	1451	3641
285	1453	3627
286	1461	3630
287	1464	3620
288	1466	3607
289	1468	3594
290	1475	3594
291	1477	3583
292	1480	3571
293	1482	3558
294	1483	3546
295	1491	3547
296	1493	3535
297	1496	3525
298	1498	3512
299	1505	3512
300	1507	3501
301	1510	3490
302	1512	3478
303	1514	3466
304	1520	3464
305	1523	3454
306	1525	3442
307	1527	3430
308	1529	3419
309	1536	3419
310	1539	3411
311	1542	3400
312	1544	3389
313	1551	3389
314	1554	3380
315	1557	3371
316	1559	3360
317	1566	3359
318	1569	3350
319	1571	3340
320	1573	3328
321	1575	3317
